intervalo;metodo;csi_gu;alpha_gu;csi_gev;alpha_gev;kappa_gev
15-25;MOM-L;73,144;21,532;73,415;21,278;0,028
15-25;ML;73,511;20,846;74,053;20,615;0,041
15-25;GML;-;-;72,716;20,013;-0,072
25-35;MOM-L;75,983;21,667;76,097;21,328;0,009
25-35;ML;76,202;21,237;76,339;20,790;0,009
25-35;GML;-;-;75,536;20,462;-0,059
35-45;MOM-L;76,804;21,052;76,733;20,427;-0,010
35-45;ML;76,992;20,574;76,995;20,153;-0,006
35-45;GML;-;-;76,367;19,831;-0,057
45-55;MOM-L;73,512;20,923;73,458;20,465;-0,004
45-55;ML;73,642;20,664;73,687;20,372;0,004
45-55;GML;-;-;73,154;20,094;-0,042
?55;MOM-L;69,943;20,580;69,903;20,183;-0,006
?55;ML;70,004;20,527;70,062;20,245;0,002
?55;GML;-;-;69,668;20,028;-0,031
