bacia.codigo;RH;p.0;metodo;csi_gu;csi_gev;alpha_gu;alpha_gev;kappa_gev;;;1;Amazonas
1;Amazonas;0,00%;lmom;82,620;82,665;23,147;22,401;0,009;;;2;Tocantins
1;Amazonas;0,00%;ml;82,822;82,912;22,767;21,945;0,023;;;3;Atlântico Norte/Nordeste
1;Amazonas;0,00%;gml;-;82,042;-;21,676;-0,057;;;4;São Francisco
2;Tocantins;0,17%;lmom;78,630;79,120;20,040;20,454;0,047;;;5;Atlântico Leste
2;Tocantins;0,17%;ml;78,711;79,489;20,293;20,281;0,060;;;6;Paraná
2;Tocantins;0,17%;gml;-;78,470;-;19,835;-0,034;;;7;Uruguai
3;Atlântico Norte/Nordeste;0,13%;lmom;67,516;67,828;21,512;21,634;0,027;;;8;Atlântico Sudeste
3;Atlântico Norte/Nordeste;0,13%;ml;67,734;68,224;21,234;21,148;0,034;;;;
3;Atlântico Norte/Nordeste;0,13%;gml;-;67,197;-;20,646;-0,048;;;;
4;São Francisco;0,00%;lmom;67,663;67,673;19,398;18,988;0,001;;;;
4;São Francisco;0,00%;ml;67,803;67,936;19,199;18,876;0,009;;;;
4;São Francisco;0,00%;gml;-;67,369;-;18,621;-0,045;;;;
5;Atlântico Leste;0,00%;lmom;69,934;70,029;21,897;21,640;0,008;;;;
5;Atlântico Leste;0,00%;ml;70,065;70,234;21,712;21,396;0,011;;;;
5;Atlântico Leste;0,00%;gml;-;69,606;-;21,072;-0,039;;;;
6;Paraná;0,01%;lmom;75,488;75,295;20,009;19,158;-0,022;;;;
6;Paraná;0,01%;ml;75,688;75,547;19,438;18,952;-0,020;;;;
6;Paraná;0,01%;gml;-;75,044;-;18,709;-0,061;;;;
7;Uruguai;0,00%;lmom;87,800;88,150;22,464;22,833;0,033;;;;
7;Uruguai;0,00%;ml;88,001;88,609;22,271;22,417;0,044;;;;
7;Uruguai;0,00%;gml;-;87,479;-;21,777;-0,045;;;;
8;Atlântico Sudeste;0,07%;lmom;81,041;80,852;24,090;23,245;-0,012;;;;
8;Atlântico Sudeste;0,07%;ml;81,290;81,110;23,320;22,858;-0,008;;;;
8;Atlântico Sudeste;0,07%;gml;-;80,495;-;22,540;-0,059;;;;
